company_id,contract_months,monthly_fee,active_users_ratio,login_freq_per_week,feature_usage_score,support_tickets_90d,nps_score,payment_delays_count,churned
C-1210,34,35111,0.18,10.9,0.26,3,4,4,1
C-1211,24,93578,0.12,1.1,0.69,5,9,2,1
C-1212,15,89181,0.81,6.3,0.4,8,10,4,0
C-1213,8,94941,0.33,2.1,0.41,1,9,1,0
C-1214,5,16826,0.41,6.3,0.28,1,8,2,0
C-1215,26,18890,0.16,6.4,0.62,17,1,2,1
C-1216,18,87428,0.26,7.2,0.36,2,6,3,0
C-1217,6,63031,0.79,12.6,0.83,2,8,4,0
C-1218,13,80020,0.54,11.4,0.96,17,1,1,1
C-1219,28,10495,0.89,9.1,0.94,5,10,1,0
C-1220,5,33481,0.46,12.5,0.16,0,9,3,0
C-1221,13,16267,0.34,9.7,0.01,14,5,1,1
C-1222,17,11743,0.41,11.6,0.44,10,8,2,1
C-1223,32,59800,0.74,8.1,0.73,9,2,0,1
C-1224,29,53773,0.6,7.6,0.98,3,7,2,1
C-1225,3,62042,0.91,10.3,0.78,13,4,0,0
C-1226,34,54476,0.64,0.8,0.58,1,6,1,0
C-1227,27,97105,0.54,9.8,0.03,12,2,4,1
C-1228,13,33552,0.81,13.1,0.83,15,7,0,0
C-1229,33,70242,0.95,10.1,0.18,11,1,2,0
C-1230,6,50772,0.42,1.0,0.06,4,7,2,1
C-1231,24,48730,0.32,5.6,0.85,18,1,2,1
C-1232,19,33948,0.65,11.4,0.57,2,6,2,0
C-1233,16,81311,0.55,13.4,0.13,19,1,3,1
C-1234,28,74093,0.99,5.5,0.39,1,6,1,0
C-1235,33,74123,0.52,11.9,0.09,16,0,4,1
C-1236,13,21535,0.17,12.2,0.64,10,5,3,0
C-1237,25,71490,0.98,2.2,0.28,0,9,1,0
C-1238,27,51562,0.86,11.9,0.87,18,6,0,0
C-1239,7,94080,0.26,4.9,0.36,7,3,3,1
C-1240,5,63535,0.91,8.5,0.49,10,10,3,0
C-1241,31,46269,0.41,7.8,0.06,7,10,3,0
C-1242,23,85674,0.44,9.5,0.28,16,0,3,1
C-1243,10,47462,0.92,10.5,0.68,19,5,0,0
C-1244,32,8127,0.58,6.5,0.74,5,3,2,0
C-1245,30,28147,0.22,12.5,0.24,6,2,3,0
C-1246,31,50528,0.43,11.4,0.5,12,3,1,1
C-1247,18,82095,0.75,11.1,0.82,6,5,2,0
C-1248,2,73931,0.26,6.7,0.38,10,4,0,0
C-1249,14,95925,0.63,1.0,0.13,9,1,4,1
C-1250,13,71381,0.73,7.1,0.43,7,1,0,1
C-1251,29,68749,0.41,12.6,0.6,9,2,4,1
C-1252,12,43672,0.72,3.1,0.01,10,10,1,0
C-1253,2,18731,0.9,13.8,0.35,19,5,4,0
C-1254,32,59512,0.52,11.4,0.61,16,0,3,1
C-1255,13,56024,0.44,10.1,0.95,10,10,2,0
C-1256,27,8832,0.33,9.6,0.41,15,6,2,0
C-1257,17,37332,0.64,8.4,0.16,4,7,3,1
C-1258,31,17467,0.89,10.2,0.53,9,6,2,0
C-1259,34,46025,0.39,6.2,0.29,19,10,0,0
C-1260,24,18107,0.46,11.9,0.21,4,2,3,0
C-1261,35,82994,0.47,9.9,0.59,19,5,3,1
C-1262,6,99202,0.6,10.9,0.92,8,3,2,0
C-1263,19,48481,0.31,11.2,0.84,2,4,4,0
C-1264,30,7581,0.84,1.7,0.18,2,2,1,1
C-1265,7,80118,0.37,1.3,0.77,9,4,4,0
C-1266,10,56638,0.73,11.3,0.23,6,5,0,0
C-1267,32,13418,0.56,4.0,0.29,1,7,3,0
C-1268,34,98627,0.63,8.4,0.92,7,5,3,0
C-1269,28,34113,0.26,6.5,0.91,11,8,0,0
C-1270,15,89363,0.76,0.8,0.17,8,9,1,1
C-1271,30,68044,0.27,1.0,0.06,10,9,3,1
C-1272,29,84955,0.2,11.7,0.29,18,9,4,1
C-1273,22,66030,0.59,8.7,0.58,19,9,0,0
C-1274,4,16814,0.74,7.6,0.88,16,3,3,0
C-1275,20,15024,0.15,13.2,0.12,12,1,4,1
C-1276,32,68288,0.16,2.8,0.41,0,8,0,0
C-1277,4,62836,0.82,4.0,0.27,0,10,0,0
C-1278,27,12435,0.83,10.7,0.01,7,2,0,0
C-1279,17,72084,0.32,11.0,0.79,12,10,1,0
C-1280,12,75601,0.65,6.0,0.81,5,6,0,0
C-1281,22,93416,0.5,13.3,0.22,2,3,2,1
C-1282,17,8407,0.67,13.2,0.15,15,0,2,1
C-1283,10,37940,0.88,0.7,0.14,9,7,0,1
C-1284,1,10666,0.17,2.8,0.46,6,3,3,1
C-1285,22,42122,0.8,11.6,0.25,2,10,2,0
C-1286,26,30092,0.54,5.0,0.51,13,5,4,0
C-1287,18,80645,0.61,1.8,0.38,15,6,4,1
C-1288,14,31505,0.69,11.1,0.21,3,7,3,0
C-1289,29,41713,0.93,6.6,0.75,12,9,4,0
C-1290,12,59387,0.15,7.1,0.15,0,1,3,1
C-1291,35,48169,0.13,3.0,0.8,4,8,4,0
C-1292,12,78282,0.26,9.4,0.56,17,9,0,1
C-1293,7,82511,0.99,7.9,0.83,11,2,4,1
C-1294,29,56742,0.74,3.3,0.0,10,0,0,0
C-1295,11,45522,0.65,5.1,0.75,8,1,4,1
C-1296,33,86132,0.14,8.6,0.05,6,7,4,1
C-1297,6,8880,0.89,13.0,0.95,13,9,4,0
C-1298,15,48454,0.83,12.9,0.7,2,5,0,0
C-1299,32,60711,0.7,4.4,0.32,15,10,4,0
C-1300,11,48539,0.41,10.4,0.32,6,0,4,0
C-1301,23,73321,0.16,11.0,0.86,0,10,1,0
C-1302,26,92985,0.62,11.4,0.9,5,8,0,0
C-1303,34,19799,0.75,8.2,0.89,5,6,2,0
C-1304,34,65102,0.18,0.6,0.81,9,9,3,1
C-1305,29,55726,0.67,10.8,0.82,11,10,1,0
C-1306,4,53784,0.36,1.9,0.57,18,2,4,1
C-1307,17,48333,0.79,2.1,0.03,5,6,2,0
C-1308,35,45828,0.59,8.7,0.09,13,5,2,0
C-1309,13,74526,0.22,13.8,0.65,2,2,4,1
C-1310,15,59362,0.57,3.8,0.4,9,7,4,0
C-1311,29,58997,0.46,9.2,0.57,8,0,1,0
C-1312,29,55341,0.26,4.6,0.23,19,4,0,1
C-1313,11,24073,0.86,12.6,0.65,18,7,1,0
C-1314,32,19549,0.11,8.5,0.24,14,2,0,1
C-1315,2,88795,0.38,3.3,0.46,8,10,2,0
C-1316,14,61920,0.11,4.0,0.48,18,9,3,1
C-1317,20,90326,0.19,6.3,0.18,7,10,4,1
C-1318,22,80515,0.37,2.1,0.88,3,5,1,0
C-1319,11,25316,0.15,1.6,0.53,4,9,2,1
C-1320,27,31183,0.64,9.7,0.87,18,10,1,0
C-1321,3,98860,0.18,6.0,0.26,13,1,0,1
C-1322,17,29624,0.73,10.3,0.17,17,8,4,0
C-1323,28,67515,0.15,2.0,0.02,18,1,0,1
C-1324,29,90781,0.15,8.7,0.09,5,4,0,1
C-1325,21,51705,0.37,6.5,0.15,4,2,0,1
C-1326,16,94326,0.91,1.3,0.08,10,9,2,0
C-1327,20,31756,0.68,7.9,0.9,4,8,4,0
C-1328,6,65390,0.79,1.6,0.91,7,8,3,1
C-1329,19,73369,0.23,11.7,0.94,4,6,1,0
C-1330,5,75821,0.85,9.0,0.96,10,9,0,0
C-1331,3,14589,0.11,8.0,0.49,12,4,4,0
C-1332,1,19116,0.29,2.3,0.53,5,8,1,0
C-1333,15,78181,0.65,4.4,0.13,4,6,4,0
C-1334,34,49786,0.44,7.2,0.14,17,1,1,0
C-1335,35,99686,0.99,9.0,0.77,9,9,4,0
C-1336,25,81425,0.13,3.0,0.86,15,0,3,1
C-1337,24,35286,1.0,0.6,0.78,13,9,4,1
C-1338,12,20994,0.66,5.2,0.83,14,9,4,0
C-1339,18,95198,0.6,7.0,0.28,2,3,0,0
C-1340,15,31639,0.15,3.0,0.47,2,9,0,0
C-1341,16,22205,0.35,7.1,0.46,11,7,0,0
C-1342,27,61677,0.93,5.1,1.0,14,5,4,0
C-1343,8,37930,0.42,6.6,0.95,10,1,3,1
C-1344,25,78313,0.7,5.2,0.6,9,4,1,0
C-1345,17,98851,1.0,9.0,0.14,19,8,0,0
C-1346,29,97509,0.34,1.1,0.26,14,5,2,1
C-1347,8,23316,0.62,2.8,0.36,17,5,4,0
C-1348,15,32304,0.73,6.3,0.87,13,6,3,1
C-1349,27,92876,0.25,5.3,0.17,5,10,3,0
C-1350,7,90366,0.23,5.8,0.22,13,4,0,0
C-1351,3,18403,0.51,11.4,0.35,15,2,0,1
C-1352,29,85052,0.45,12.5,0.93,1,2,2,1
C-1353,24,89627,0.74,3.9,0.5,18,4,2,0
C-1354,3,78495,0.16,11.8,0.65,4,3,0,1
C-1355,20,36932,0.97,6.7,0.39,10,4,1,0
C-1356,15,41701,0.11,4.2,0.19,10,8,0,1
C-1357,25,8385,0.64,13.8,0.22,18,4,0,0
C-1358,30,62241,0.61,11.6,0.8,17,3,3,1
C-1359,14,15367,0.22,13.9,0.89,7,3,0,1
C-1360,7,70030,0.24,2.8,0.49,11,0,0,1
C-1361,17,51505,0.81,2.4,0.36,8,9,0,0
C-1362,20,38332,0.9,7.3,0.81,2,3,1,0
C-1363,9,90178,0.35,9.1,0.67,5,3,3,1
C-1364,22,81325,0.49,2.8,0.04,0,8,4,0
C-1365,2,40268,0.42,12.1,0.35,16,10,4,0
C-1366,24,91486,0.17,7.7,0.68,2,3,4,1
C-1367,8,30563,0.71,6.0,0.57,17,6,4,0
C-1368,11,41404,0.84,8.6,0.98,17,0,3,1
C-1369,13,60182,0.37,9.1,0.87,1,6,0,0
C-1370,17,37991,0.99,1.1,0.06,3,1,4,1
C-1371,8,52663,0.17,14.0,0.73,0,10,0,0
C-1372,21,70886,0.7,5.4,0.34,9,7,4,0
C-1373,18,88848,0.5,1.3,0.68,4,0,1,1
C-1374,30,29127,0.5,12.0,0.62,4,9,0,0
C-1375,18,62692,0.51,13.9,0.5,8,2,3,1
C-1376,31,99389,0.33,11.5,0.85,13,7,1,1
C-1377,32,42500,0.74,12.0,0.71,12,9,1,0
C-1378,11,38785,0.75,9.0,0.89,12,7,3,0
C-1379,25,89146,0.35,13.0,0.28,0,10,1,0
C-1380,33,94126,0.85,1.0,0.35,16,4,0,1
C-1381,8,99979,0.39,10.9,0.62,19,4,2,0
C-1382,11,52997,0.75,9.6,0.97,7,7,2,0
C-1383,22,12170,0.21,1.2,0.37,2,9,4,0
C-1384,24,18303,0.25,7.8,0.03,16,4,4,1
C-1385,17,76743,0.38,7.5,0.45,11,8,0,0
C-1386,12,82852,0.63,9.8,0.54,17,0,3,1
C-1387,32,40187,0.68,1.5,0.8,13,4,0,1
C-1388,15,70034,0.46,11.4,0.73,10,2,4,1
C-1389,16,76776,0.17,2.4,0.96,15,2,1,1
C-1390,22,6893,0.44,6.2,0.78,3,1,0,0
C-1391,28,18753,0.72,12.4,0.3,17,2,0,0
C-1392,20,43090,0.7,8.1,0.64,6,6,3,0
C-1393,33,69922,0.24,5.6,0.67,10,7,4,1
C-1394,10,81768,0.11,1.2,1.0,15,7,0,1
C-1395,32,64412,0.78,9.6,0.14,15,10,1,0
C-1396,33,61030,0.2,13.8,0.19,2,7,1,1
C-1397,2,22509,0.17,12.8,0.16,8,0,2,1
C-1398,33,73653,0.1,10.2,0.59,7,10,4,0
C-1399,33,41929,0.49,1.9,0.14,6,6,1,0
C-1400,13,53291,0.55,3.7,0.66,16,1,3,1
C-1401,30,9042,0.67,3.0,0.8,10,10,4,1
C-1402,33,67574,0.37,5.3,0.43,3,9,1,0
C-1403,13,42201,0.74,3.7,0.56,3,3,0,1
C-1404,26,97282,0.25,3.8,0.91,4,4,4,0
C-1405,22,19016,0.85,8.8,0.57,7,0,1,0
C-1406,2,30022,0.61,4.8,0.21,9,3,0,0
C-1407,26,32938,0.63,9.6,0.34,16,3,2,1
C-1408,15,48678,0.29,13.3,0.53,5,8,4,1
C-1409,34,66720,0.17,9.1,0.15,8,8,4,0
C-1410,11,61805,0.52,10.6,0.61,9,10,1,0
C-1411,3,79323,0.65,10.6,1.0,7,9,2,1
C-1412,6,6986,0.19,5.0,0.65,14,0,3,1
C-1413,9,81478,0.96,0.7,0.37,17,7,1,1
C-1414,6,87994,0.98,1.2,0.33,4,3,1,0
C-1415,9,17161,0.59,4.3,0.93,17,3,3,1
C-1416,31,25689,0.96,9.8,0.87,0,4,3,0
C-1417,32,99699,0.26,12.7,0.47,1,1,3,1
C-1418,12,65924,0.12,13.4,0.35,9,0,3,1
C-1419,8,79308,0.14,0.8,0.71,5,4,3,1
C-1420,8,68745,0.63,13.9,0.31,18,6,0,0
C-1421,28,6211,0.16,4.9,0.12,10,9,0,1
C-1422,20,5229,0.96,11.9,0.31,17,8,3,0
C-1423,7,53542,0.23,2.9,0.43,15,1,2,1
C-1424,11,19345,0.37,1.3,0.26,7,7,2,0
C-1425,20,36819,0.84,5.6,0.22,3,6,3,1
C-1426,16,52779,0.3,12.1,0.01,10,1,0,1
C-1427,4,87421,0.32,3.5,0.63,9,4,2,0
C-1428,6,97244,0.68,2.6,0.61,15,6,0,1
C-1429,22,70584,0.35,12.8,0.19,11,2,1,0
C-1430,26,24950,0.3,13.2,0.94,2,1,0,0
C-1431,3,20173,0.33,0.7,0.41,10,5,3,1
C-1432,14,63032,0.54,10.3,0.03,15,9,4,1
C-1433,11,33036,0.97,4.7,0.22,2,5,3,1
C-1434,18,76356,0.85,5.6,0.69,9,10,1,0
C-1435,12,19292,0.36,6.8,0.2,15,3,0,1
C-1436,23,8052,0.43,6.3,0.05,6,0,2,0
C-1437,12,49377,0.52,7.5,0.62,14,4,3,1
C-1438,13,94317,0.98,8.4,0.52,14,0,2,1
C-1439,25,72838,0.26,6.8,0.76,9,10,0,0
C-1440,19,72819,0.42,10.0,0.77,2,10,1,0
C-1441,8,20620,0.76,10.2,0.96,5,7,3,1
C-1442,29,35461,0.97,6.4,0.06,17,1,2,1
C-1443,32,25750,0.24,2.4,0.04,4,8,3,0
C-1444,18,93719,0.3,9.1,0.99,15,8,3,1
C-1445,6,14472,0.3,10.9,0.64,12,2,2,1
C-1446,18,74263,0.12,9.1,0.72,2,5,1,1
C-1447,19,62602,0.64,8.4,0.1,14,8,3,0
C-1448,22,30523,0.7,3.6,0.07,19,6,1,0
C-1449,32,35766,0.64,9.2,0.16,5,3,1,0
C-1450,3,71060,0.16,5.0,0.43,3,2,0,1
C-1451,28,14079,0.16,12.9,0.11,14,1,2,1
C-1452,10,13399,0.29,9.3,0.45,17,9,0,1
C-1453,35,65726,0.36,4.3,0.56,8,9,4,1
C-1454,29,97906,0.81,6.9,0.0,19,0,0,1
C-1455,15,21532,0.24,11.9,0.11,3,10,3,1
C-1456,33,87357,0.14,5.0,0.38,15,9,3,1
C-1457,7,48162,0.45,7.6,0.05,17,10,3,0
C-1458,12,8749,0.47,9.7,0.13,4,0,4,0
C-1459,30,16353,0.51,10.7,0.23,12,3,1,0
C-1460,21,33477,0.84,2.8,0.43,5,3,3,1
C-1461,31,29570,0.19,8.1,0.71,18,8,0,1
C-1462,24,91373,0.73,12.8,0.13,11,9,1,0
C-1463,20,16437,0.4,13.6,0.74,14,0,0,0
C-1464,4,43104,0.38,9.4,0.86,8,10,0,0
C-1465,28,68370,0.94,13.8,0.65,6,3,3,0
C-1466,20,9551,0.32,8.2,0.04,13,2,0,1
C-1467,24,73359,0.68,6.5,0.44,18,8,4,1
C-1468,32,59880,0.35,7.9,0.66,19,4,1,0
C-1469,34,17916,0.56,2.1,0.98,15,8,3,0
C-1470,2,85703,0.81,5.9,0.95,3,9,3,0
C-1471,15,46445,0.89,6.7,0.4,11,5,0,0
C-1472,34,52636,0.85,12.0,0.62,17,10,0,0
C-1473,6,78927,0.62,10.7,0.89,7,8,2,0
C-1474,12,83194,0.32,8.6,0.83,16,0,2,0
C-1475,3,34685,0.7,5.2,0.48,2,3,3,0
C-1476,18,56134,0.74,3.0,0.26,3,3,3,1
C-1477,21,93916,0.11,5.2,0.14,9,9,0,0
C-1478,15,99455,0.5,9.7,0.49,15,9,4,1
C-1479,33,72847,0.86,4.1,0.72,19,5,4,0
C-1480,35,44993,0.54,6.3,0.97,1,9,0,0
C-1481,26,49333,0.38,5.7,0.86,11,0,2,1
C-1482,8,63865,0.88,10.8,0.2,15,9,2,0
C-1483,30,84096,0.24,12.4,0.72,9,4,4,1
C-1484,23,54756,0.29,9.9,0.29,4,2,3,1
C-1485,14,66192,0.72,5.1,0.68,11,0,0,1
C-1486,14,65686,0.42,6.3,0.67,2,5,3,0
C-1487,2,53733,0.74,2.4,0.27,11,2,2,1
C-1488,5,30993,0.24,2.8,0.23,0,3,4,1
C-1489,14,35492,0.33,2.7,0.1,1,8,3,0
C-1490,25,25981,0.24,2.3,0.05,10,1,2,1
C-1491,20,29143,0.96,2.9,0.86,11,0,2,1
C-1492,2,82603,0.46,3.2,0.05,6,9,2,1
C-1493,6,94452,0.4,2.0,0.09,0,5,3,0
C-1494,17,65277,0.11,9.1,0.24,12,0,1,1
C-1495,25,54990,0.24,13.9,0.89,12,0,4,1
C-1496,28,67888,0.48,12.4,0.33,1,6,2,0
C-1497,2,74351,0.16,1.1,0.19,9,1,3,1
C-1498,35,54999,0.56,6.2,0.72,0,3,0,0
C-1499,5,75309,0.51,12.1,0.32,6,3,4,1
C-1500,1,17446,0.79,2.3,0.33,12,1,0,1
C-1501,12,35733,0.69,11.9,0.74,1,5,0,0
C-1502,23,81000,0.5,8.5,0.25,19,9,3,1
C-1503,31,53632,0.3,13.1,0.9,6,1,1,0
C-1504,11,26576,0.75,12.3,0.56,16,7,3,0
C-1505,10,8320,0.74,9.6,0.54,4,3,3,1
C-1506,3,15750,0.24,9.4,0.26,10,0,4,1
C-1507,14,58463,0.92,3.4,0.84,10,6,3,0
C-1508,16,31572,0.16,2.1,0.57,10,5,4,0
C-1509,10,22948,0.15,6.1,0.16,16,5,2,0
C-1510,29,43826,0.27,3.0,0.21,18,10,4,1
C-1511,10,94051,0.92,1.9,0.47,7,2,3,1
C-1512,12,32867,0.57,4.6,0.78,19,9,2,1
C-1513,30,65231,0.81,12.1,0.94,13,6,2,0
C-1514,1,71262,0.31,0.7,0.66,9,5,1,0
C-1515,5,96356,0.54,4.5,0.51,6,9,3,0
C-1516,20,77233,0.42,6.2,0.25,1,9,0,0
C-1517,8,49678,0.85,7.4,0.67,16,8,3,1
C-1518,12,17963,0.12,3.0,0.98,0,2,0,1
C-1519,1,69360,0.32,13.5,0.48,12,2,1,0
C-1520,20,54434,0.24,8.3,0.16,18,3,3,1
C-1521,28,71617,0.87,7.5,0.1,13,2,1,1
C-1522,12,25269,0.52,0.6,0.27,17,3,0,0
C-1523,28,81312,0.46,7.1,0.57,19,5,4,0
C-1524,15,84732,0.5,11.8,0.95,13,0,3,0
C-1525,6,86494,0.97,3.5,0.3,14,1,2,0
C-1526,20,93905,0.87,5.2,0.31,13,9,2,0
C-1527,14,82225,0.74,0.8,0.48,4,5,1,1
C-1528,2,87867,0.36,13.7,0.92,15,5,4,1
C-1529,9,42528,0.25,1.4,0.42,4,0,2,1
C-1530,20,83972,0.93,12.6,0.22,12,5,2,0
C-1531,26,70602,0.48,4.7,0.16,15,10,3,0
C-1532,29,95748,0.35,8.4,0.46,14,8,2,1
C-1533,1,38332,0.52,9.7,0.8,4,7,0,0
C-1534,35,95937,0.93,2.4,0.29,5,9,1,0
C-1535,6,83929,0.45,6.5,0.51,12,4,2,0
C-1536,5,74206,0.61,4.9,0.6,15,3,3,1
C-1537,33,96137,0.82,1.3,0.45,9,5,0,0
C-1538,14,7251,0.48,11.7,0.19,1,10,2,1
C-1539,12,50717,0.31,1.1,0.92,12,4,1,0
C-1540,20,32027,1.0,9.3,0.57,16,5,1,0
C-1541,24,91551,0.96,4.7,0.73,0,9,1,0
C-1542,34,14583,0.86,3.1,0.64,3,10,2,0
C-1543,25,55387,0.72,9.5,1.0,17,2,0,0
C-1544,29,28104,0.37,8.3,0.46,5,6,4,0
C-1545,31,17224,0.92,4.8,0.42,11,7,1,0
C-1546,23,65624,0.35,7.4,0.36,19,4,0,0
C-1547,20,61058,0.82,3.8,0.36,12,4,3,0
C-1548,23,34299,0.93,12.2,0.28,1,3,3,0
C-1549,16,83572,0.64,4.7,0.98,16,9,0,0
C-1550,8,90469,0.82,3.8,0.87,9,4,3,0
C-1551,21,82928,0.81,10.6,0.32,18,9,3,0
C-1552,1,78474,0.27,0.7,0.31,4,10,1,0
C-1553,8,9141,0.7,4.1,0.1,11,7,2,0
C-1554,29,28350,0.18,5.6,0.88,17,4,2,1
C-1555,32,80082,0.56,12.4,0.37,8,8,2,0
C-1556,5,75871,0.25,13.3,0.57,10,0,2,1
C-1557,22,10077,0.47,10.2,0.9,3,6,0,0
C-1558,34,51015,0.85,7.1,0.41,9,4,1,0
C-1559,1,76147,0.99,9.1,0.81,0,3,0,0
C-1560,26,64180,0.39,6.1,0.43,1,2,3,1
C-1561,10,45857,0.58,4.5,0.7,8,9,1,0
C-1562,30,64840,0.56,13.3,0.43,17,6,4,0
C-1563,18,64902,0.96,2.1,0.39,15,1,2,0
C-1564,17,10577,0.53,5.2,0.99,13,4,3,0
C-1565,26,25002,0.73,12.6,0.61,3,1,2,1
C-1566,8,55711,0.93,10.3,0.37,1,6,2,0
C-1567,12,44451,0.44,0.9,0.26,11,5,2,0
C-1568,27,54103,0.91,0.8,0.04,19,9,4,1
C-1569,8,33647,0.93,7.5,0.71,4,6,3,0
C-1570,25,39831,0.94,7.0,0.37,3,8,2,1
C-1571,4,71830,0.34,6.5,0.82,14,1,2,1
C-1572,33,85632,0.46,4.6,0.36,2,8,1,0
C-1573,1,41833,0.88,13.8,0.37,16,6,2,0
C-1574,19,97864,0.42,4.2,0.78,7,1,1,0
C-1575,31,29398,0.64,7.1,0.49,11,9,3,0
C-1576,16,66554,0.21,6.0,0.88,7,1,3,1
C-1577,14,55755,0.15,2.8,0.59,19,3,3,1
C-1578,5,22706,0.47,3.2,0.24,19,1,1,0
C-1579,26,27340,0.62,12.9,0.57,4,0,4,1
C-1580,28,69994,0.45,12.1,0.0,5,5,4,0
C-1581,2,68884,0.62,3.2,0.31,4,9,2,0
C-1582,6,89361,0.56,12.3,0.21,7,10,3,0
C-1583,9,22482,0.72,3.3,0.65,17,4,0,0
C-1584,33,59225,0.68,9.0,0.14,3,2,2,1
C-1585,25,63849,0.48,1.6,0.29,3,10,4,0
C-1586,13,79854,0.48,12.4,0.33,4,0,4,0
C-1587,9,46256,0.23,1.2,0.0,14,8,3,1
C-1588,13,86110,0.56,8.0,0.05,5,7,1,0
C-1589,31,19650,0.63,11.0,0.31,15,5,2,0
C-1590,11,51118,0.53,2.1,0.22,13,5,1,0
C-1591,4,33930,0.39,6.0,0.12,13,3,4,1
C-1592,34,90707,0.75,1.1,0.15,15,1,3,1
C-1593,4,16801,0.17,9.7,0.84,3,3,4,0
C-1594,19,56360,0.92,4.7,0.68,10,1,3,1
C-1595,6,92908,0.12,8.1,0.48,18,6,0,1
C-1596,34,21559,0.97,13.1,0.91,18,8,1,0
C-1597,18,37334,0.52,4.6,0.03,7,1,2,1
C-1598,13,18288,0.47,1.2,0.34,9,8,3,0
C-1599,23,27398,0.33,9.6,0.82,4,8,0,0
C-1600,19,81230,0.11,11.1,0.63,15,7,0,1
C-1601,11,17191,0.35,13.4,0.98,2,0,1,1
C-1602,1,23051,0.2,2.6,0.94,9,4,3,0
C-1603,24,66715,0.69,5.8,0.17,12,9,2,0
C-1604,7,15737,0.39,11.9,0.97,6,10,2,0
C-1605,25,70140,0.79,11.4,0.95,11,3,2,1
C-1606,21,30251,0.29,8.9,0.37,13,6,4,1
C-1607,15,55975,0.91,4.1,0.98,9,10,4,0
C-1608,1,10147,0.57,4.3,0.04,8,7,3,1
C-1609,12,55508,0.2,2.2,0.66,11,9,2,1
C-1610,7,57224,0.46,12.9,0.27,2,10,0,0
C-1611,15,24643,0.29,2.8,0.13,12,7,2,1
C-1612,21,43967,0.28,8.2,0.58,5,1,3,0
C-1613,19,45733,0.56,8.4,0.31,5,2,2,1
C-1614,29,89003,0.7,5.5,0.67,18,9,1,0
C-1615,25,39808,0.92,5.3,0.54,6,9,2,0
C-1616,33,72288,0.55,9.5,0.39,3,6,0,0
C-1617,32,63959,0.97,5.7,0.18,4,3,3,1
C-1618,35,6849,0.95,3.9,0.6,0,5,3,0
C-1619,26,73178,0.88,5.9,0.83,17,7,0,0
C-1620,11,72136,0.55,11.4,0.6,16,7,3,0
C-1621,35,65740,0.23,13.5,0.61,8,6,2,1
C-1622,8,91322,0.3,9.1,0.51,8,1,3,0
C-1623,14,49565,0.68,11.1,0.39,9,1,2,0
C-1624,10,25183,0.48,7.7,0.46,19,2,3,1
C-1625,2,6132,0.23,8.9,0.99,16,3,2,1
C-1626,9,43259,0.53,13.8,0.75,12,0,2,1
C-1627,3,68668,0.12,6.4,0.43,3,4,0,1
C-1628,21,43563,0.76,1.4,0.46,17,6,0,0
C-1629,26,97227,0.17,13.4,0.5,17,9,4,1
C-1630,8,15931,0.67,11.2,0.66,8,10,0,0
C-1631,2,78169,0.81,5.9,0.47,2,4,2,0
C-1632,6,55639,0.22,13.8,0.69,6,6,2,0
C-1633,28,63901,0.57,5.2,0.33,14,4,3,0
C-1634,29,6044,0.8,5.5,0.41,8,10,3,0
C-1635,26,51691,0.33,8.7,0.86,8,9,4,1
C-1636,25,29363,0.25,4.2,0.33,3,7,2,1
C-1637,12,51694,0.4,9.9,0.96,17,6,4,1
C-1638,5,6582,0.6,2.6,0.17,16,0,2,1
C-1639,34,84910,0.62,2.0,0.24,5,10,0,0
C-1640,15,71844,0.22,7.7,0.46,6,0,3,1
C-1641,15,26301,0.51,8.0,0.8,9,4,4,0
C-1642,23,79329,0.34,1.9,0.73,9,1,1,1
C-1643,6,6620,0.86,13.5,0.17,5,8,2,0
C-1644,21,67224,0.38,8.2,0.24,5,1,0,0
C-1645,23,61655,0.85,2.5,0.58,18,8,1,0
C-1646,16,42534,0.49,4.7,0.3,7,9,0,1
C-1647,15,44390,0.75,11.3,0.42,8,1,0,1
C-1648,25,76629,0.56,7.6,0.49,0,3,2,0
C-1649,11,60856,0.66,3.0,0.59,15,2,0,1
C-1650,15,54252,0.46,1.9,0.25,5,5,4,1
C-1651,4,60809,0.79,6.3,0.16,7,3,1,1
C-1652,21,27259,0.48,5.1,0.4,14,8,0,0
C-1653,13,25655,0.51,9.4,0.08,11,8,0,1
C-1654,22,38005,0.57,13.0,0.53,9,9,3,0
C-1655,19,36629,0.85,3.8,0.84,15,8,3,0
C-1656,34,28610,0.69,12.0,0.12,14,2,4,1
C-1657,14,62184,0.41,12.9,0.11,10,2,3,1
C-1658,4,26602,0.7,12.7,0.08,6,3,0,0
C-1659,27,90945,0.68,13.4,0.85,7,8,0,0
C-1660,29,16110,0.94,11.9,0.08,10,5,1,0
C-1661,28,11073,0.86,8.5,0.98,8,8,3,0
C-1662,35,85818,0.68,6.0,0.36,6,7,2,1
C-1663,8,15195,0.41,7.1,0.33,14,6,3,0
C-1664,16,6537,0.8,12.3,0.09,14,4,0,0
C-1665,30,22138,0.62,4.6,0.59,15,8,1,0
C-1666,18,49328,0.99,2.7,0.59,2,3,3,1
C-1667,2,51202,0.32,2.4,0.49,15,3,1,1
C-1668,13,45164,0.17,11.7,0.31,14,7,3,0
C-1669,4,94743,0.16,10.8,0.37,0,3,4,0
C-1670,26,59659,0.68,7.2,0.32,13,6,0,0
C-1671,25,91155,0.95,4.2,0.43,10,3,0,1
C-1672,30,54692,0.1,9.6,0.34,2,10,2,1
C-1673,11,29845,0.75,1.0,0.68,8,0,0,1
